file_name,audio_length,gender,text
भारत_की_जन_male.wav,10.24075,male,भारत की जनता के लिए यह दुर्भाग्य ही रहा कि ताशकंद समझौते के बाद वह इस छोटे कद के महान पुरुष के नेतृत्व से हमेशा-हमेशा के लिए वंचित हो गई
भारत_की_जन_female.wav,10.6703125,female,भारत की जनता के लिए यह दुर्भाग्य ही रहा कि ताशकंद समझौते के बाद वह इस छोटे कद के महान पुरुष के नेतृत्व से हमेशा-हमेशा के लिए वंचित हो गई
11_जनवरी_स_male.wav,7.8955625,male,11 जनवरी सन्‌ 1966 को इस महान पुरुष का ताशकंद में ही हृदयगति रुक जाने से निधन हो गया
11_जनवरी_स_female.wav,8.29025,female,11 जनवरी सन्‌ 1966 को इस महान पुरुष का ताशकंद में ही हृदयगति रुक जाने से निधन हो गया
मरणोपरांत__male.wav,7.81425,male,मरणोपरांत सन्‌ 1966 में उन्हें भारत के सर्वोच्च अलंकरण 'भारत रत्न' से विभूषित किया गया
मरणोपरांत__female.wav,7.9651875,female,मरणोपरांत सन्‌ 1966 में उन्हें भारत के सर्वोच्च अलंकरण 'भारत रत्न' से विभूषित किया गया
राष्ट्र_के_male.wav,5.9566875,male,राष्ट्र के विजयी प्रधानमंत्री होने के नाते उनकी समाधि का नाम भी 'विजय घाट' रखा गया
राष्ट्र_के_female.wav,6.5255625,female,राष्ट्र के विजयी प्रधानमंत्री होने के नाते उनकी समाधि का नाम भी 'विजय घाट' रखा गया
सरदार_वल्ल_male.wav,6.59525,male,सरदार वल्लभभाई पटेल का जन्म 31 अक्टूबर 1875 को गुजरात में हुआ था
सरदार_वल्ल_female.wav,6.664875,female,सरदार वल्लभभाई पटेल का जन्म 31 अक्टूबर 1875 को गुजरात में हुआ था
प्रारंभिक__male.wav,12.7253125,male,"प्रारंभिक शिक्षाकाल में ही उन्होंने एक ऐसे अध्यापक के विरुद्ध आंदोलन खड़ा कर उन्हें सही मार्ग दिखाया, जो अपने ही व्यापारिक संस्थान से पुस्तकें क्रय करने के लिए छात्रों को बाध्य करते थे"
प्रारंभिक__female.wav,13.1084375,female,"प्रारंभिक शिक्षाकाल में ही उन्होंने एक ऐसे अध्यापक के विरुद्ध आंदोलन खड़ा कर उन्हें सही मार्ग दिखाया, जो अपने ही व्यापारिक संस्थान से पुस्तकें क्रय करने के लिए छात्रों को बाध्य करते थे"
